,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
10,10,10,10,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7475/9780747568766.jpg,Just Kids,Patti Smith,Paperback,4.0,9.43,$,12.4,9780747568766,Art-Photography,dataset/Art-Photography/0000011.jpg,"WINNER OF THE NATIONAL BOOK AWARD It was the summer Coltrane died, the summer of love and riots, and the summer when a chance encounter in Brooklyn led two young people on a path of art, devotion, and initiation. Patti Smith would evolve as a poet and performer, and Robert Mapplethorpe would direct his highly provocative style toward photography. Bound in innocence and enthusiasm, they traversed the city from Coney Island to Forty-Second Street, and eventually to the celebrated round table of Max’s Kansas City, where the Andy Warhol contingent held court. In 1969, the pair set up camp at the Hotel Chelsea and soon entered a community of the famous and infamous, the influential artists of the day and the colorful fringe. It was a time of heightened awareness, when the worlds of poetry, rock and roll, art, and sexual politics were colliding and exploding. In this milieu, two kids made a pact to take care of each other. Scrappy, romantic, committed to create, and fueled by their mutual dreams and drives, they would prod and provide for one another during the hungry years. Just Kids begins as a love story and ends as an elegy. It serves as a salute to New York City during the late sixties and seventies and to its rich and poor, its hustlers and hellions. A true fable, it is a portrait of two young artists’ ascent, a prelude to fame."
11,11,11,11,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4711/9781471157790.jpg,Born to Run,Bruce Springsteen,Hardback,4.0,27.12,$,,9781471157790,Art-Photography,dataset/Art-Photography/0000012.jpg,"Recounts the author's experiences with the reclusive Tarahumara Indians, whose techniques allow them to run long distances with ease, and describes his training for a fifty-mile race with the tribe and a number of ultramarathoners."
12,12,12,12,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969423.jpg,"Music Theory in Practice, Grade 1",Eric Taylor,Sheet music,4.0,7.26,$,,9781860969423,Art-Photography,dataset/Art-Photography/0000013.jpg,"This introduction to the essential elements of music is ideal for students preparing for examinations, as well as an excellent resource for everyone learning to read music."
13,13,13,13,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408890769.jpg,Harry Potter - A History of Magic,British Library,Hardback,4.0,30.92,$,37.6,9781408890769,Art-Photography,dataset/Art-Photography/0000014.jpg,"Harry Potter: A History of Magic is the official book of the exhibition, a once-in-a-lifetime collaboration between Bloomsbury, J.K. Rowling and the brilliant curators of the British Library. It promises to take readers on a fascinating journey through the subjects studied at Hogwarts School of Witchcraft and Wizardry -- from Alchemy and Potions classes through to Herbology and Care of Magical Creatures. Each chapter showcases a treasure trove of artefacts from the British Library and other collections around the world, beside exclusive manuscripts, sketches and illustrations from the Harry Potter archive. There's also a specially commissioned essay for each subject area by an expert, writer or cultural commentator, inspired by the contents of the exhibition -- absorbing, insightful and unexpected contributions from Steve Backshall, the Reverend Richard Coles, Owen Davies, Julia Eccleshare, Roger Highfield, Steve Kloves, Lucy Mangan, Anna Pavord and Tim Peake, who offer a personal perspective on their magical theme."
14,14,14,14,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751535662.jpg,Scar Tissue,Anthony Kiedis,Paperback,4.0,10.66,$,13.9,9780751535662,Art-Photography,dataset/Art-Photography/0000015.jpg,"In this ""vivid and inspiring"" NYT bestseller (Newsweek), the Red Hot Chili Peppers' lead singer and songwriter shares a searingly honest account of life in the rock scene's fast lane -- from the darkness into the light. In 1983, four self-described ""knuckleheads"" burst out of the mosh-pitted mosaic of the neo-punk rock scene in L.A. with their own unique brand of cosmic hardcore mayhem funk. Over twenty years later, the Red Hot Chili Peppers, against all odds, have become one of the most successful bands in the world. Though the band has gone through many incarnations, Anthony Kiedis, the group's lyricist and dynamic lead singer, has been there for the whole roller-coaster ride. In Scar Tissue, Kiedis delivers a compelling life story from a man ""in love with everything"" -- the darkness, the death, the disease. Even his descent into drug addiction was a part of that journey, another element transformed into art. Whether he's honoring the influence of the beautiful, strong women who have been his muses or remembering the roaring crowds of Woodstock and the Dalai Lama's humble compound, Kiedis shares a compelling story about the price of success and excess. Scar Tissue is a story of dedication and debauchery, of intrigue and integrity, of recklessness and redemption -- a story that could only have come out of the world of rock."
15,15,15,15,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7160/9780716022237.jpg,How to Draw Anything,Mark Linley,Paperback,3.5,5.26,$,10.3,9780716022237,Art-Photography,dataset/Art-Photography/0000016.jpg,"Learn to draw charming characters! Filled with colorful illustrations and step-by-step explanations, How to Draw a Character is the perfect introduction to the art of sketching people. From babies to grandmothers, cyclists to shoppers, How to Draw a Character gives readers the skills to draw any kind of character in any setting. The easy tutorials break down seemingly complicated drawings into simple components, so even beginners will soon be drawing confidently. The book begins with a handful of simple anatomical rules that lend life and realism to the drawings. It goes on to explore all the essential aspects of figure drawing, from capturing emotions to drawing your characters in motion. Equal parts inspiration and tutorial, the charming drawings are sure to spark the imagination. Soizic Mouton's How to Draw a Character will give anyone who’s ever wanted to learn to draw the confidence to pick up a pencil and begin!"
16,16,16,16,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509829477.jpg,The Artist's Way,Julia Cameron,Paperback,4.0,12.61,$,21.1,9781509829477,Art-Photography,dataset/Art-Photography/0000017.jpg,"'A really good starting point to discover what lights you up' - Emma Gannon 'I love it. A practical, spiritual, nurturing book' - Russell Brand THE MULTI-MILLION-COPY WORLDWIDE BESTSELLER Since its first publication, The Artist's Way has inspired the genius of Elizabeth Gilbert, Tim Ferriss, Reese Witherspoon, Kerry Washington and millions of readers to embark on a creative journey and find a deeper connection to process and purpose. Julia Cameron guides readers in uncovering problems and pressure points that may be restricting their creative flow and offers techniques to open up opportunities for growth and self-discovery. A revolutionary programme for personal renewal, The Artist's Way will help get you back on track, rediscover your passions, and take the steps you need to change your life. 'Each time I've learned something important and surprising about myself and my work ... Without The Artist's Way, there would have been no Eat, Pray, Love' - Elizabeth Gilbert"
17,17,17,17,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5005/9780500513606.jpg,Chanel,Daniele Bott,Hardback,4.0,31.18,$,37.1,9780500513606,Art-Photography,dataset/Art-Photography/0000018.jpg,"Universally acclaimed, rapturously reviewed, winner of the National Book Critics Circle Award for autobiography, and an instant New York Times bestseller, Chanel Miller's breathtaking memoir ""gives readers the privilege of knowing her not just as Emily Doe, but as Chanel Miller the writer, the artist, the survivor, the fighter."" (The Wrap). ""I opened Know My Name with the intention to bear witness to the story of a survivor. Instead, I found myself falling into the hands of one of the great writers and thinkers of our time. Chanel Miller is a philosopher, a cultural critic, a deep observer, a writer's writer, a true artist. I could not put this phenomenal book down."" --Glennon Doyle, #1 New York Times bestselling author of Love Warrior and Untamed ""Know My Name is a gut-punch, and in the end, somehow, also blessedly hopeful."" --Washington Post She was known to the world as Emily Doe when she stunned millions with a letter. Brock Turner had been sentenced to just six months in county jail after he was found sexually assaulting her on Stanford's campus. Her victim impact statement was posted on BuzzFeed, where it instantly went viral--viewed by eleven million people within four days, it was translated globally and read on the floor of Congress; it inspired changes in California law and the recall of the judge in the case. Thousands wrote to say that she had given them the courage to share their own experiences of assault for the first time. Now she reclaims her identity to tell her story of trauma, transcendence, and the power of words. It was the perfect case, in many ways--there were eyewitnesses, Turner ran away, physical evidence was immediately secured. But her struggles with isolation and shame during the aftermath and the trial reveal the oppression victims face in even the best-case scenarios. Her story illuminates a culture biased to protect perpetrators, indicts a criminal justice system designed to fail the most vulnerable, and, ultimately, shines with the courage required to move through suffering and live a full and beautiful life. Know My Name will forever transform the way we think about sexual assault, challenging our beliefs about what is acceptable and speaking truth to the tumultuous reality of healing. It also introduces readers to an extraordinary writer, one whose words have already changed our world. Entwining pain, resilience, and humor, this memoir will stand as a modern classic. Chosen as a BEST BOOK OF 2019 by The New York Times Book Review, The Washington Post, TIME, Elle, Glamour, Parade, Chicago Tribune, Baltimore Sun, BookRiot"
18,18,18,18,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8478/9781847807717.jpg,Coco Chanel,Isabel Sanchez Vegara,Hardback,4.0,10.01,$,12.9,9781847807717,Art-Photography,dataset/Art-Photography/0000019.jpg,"Beautifully designed, this work reflects the elegance of its subject, and includes 60 color illustrations throughout of the life and work of Coco Chanel."
19,19,19,19,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8771/9780877180128.jpg,John Thompson's Easiest Piano Course,John Thompson,Paperback,4.0,6.71,$,8.0,9780877180128,Art-Photography,dataset/Art-Photography/0000020.jpg,"(Music Sales America). A fun repertoire of easy-to-play tunes for beginning pianists, specially created and graded to be used with John Thompson's Easiest Piano Course series. The pieces in this book are ideal for students reaching Part Two, Part Three or Part Four of the course. As well as reinforcing basic technique, the selection of catchy, well-known pop songs featured in First Piano Pops will help aspiring pianists to develop their musicality while increasing the enjoyment of learning. 15 songs, including: Apologize * Bridge over Troubled Water * Clocks * (They Long to Be) Close to You * Imagine * Lean on Me * Piano Man * Someone like You * Your Song * and more."
20,20,20,20,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751574951.jpg,Fantastic Beasts and Where to Find Them,J. K. Rowling,Paperback,4.5,7.10,$,10.5,9780751574951,Art-Photography,dataset/Art-Photography/0000021.jpg,The essential film companion for Newt Scamander! Relive the magic of Newt's world with this hardback guidebook featuring your favourite scenes and quotes from Fantastic Beasts and Where to Find Them.
21,21,21,21,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3409/9780340936177.jpg,My Booky Wook,Russell Brand,Paperback,3.5,9.34,$,13.9,9780340936177,Art-Photography,dataset/Art-Photography/0000022.jpg,"Russell Brand grew up in Essex . His father left when he was three months old, he was bulimic at 12 and left school at 16 to study at the Italia Conti stage school. There, he began drinking heavily and taking drugs. He regularly visited prostitutes in Soho, began cutting himself, took drugs on stage during his stand-up shows, and even set himself on fire while on crack cocaine. He has been arrested 11 times and fired from 3 different jobs ? including from XFM and MTV ? and he claims to have slept with over 2,000 women. In 2003 Russell was told that he would be in prison, in a mental hospital or dead within six months unless he went in to rehab. He has now been clean for three years. In 2006 his presenting career took off, and he hosted the NME awards as well as his own MTV show, 1 Leicester Square, plus Big Brother?s Big Mouth on Channel 4. His UK stand-up tour was sold out and his BBC Radio 6 show became a cult phenomenon, the second most popular podcast of the year after Ricky Gervais. He was awarded Time Out?s Stand Up Comedian of the Year and won Best Newcomer at the British Comedy Awards. In 2007 Russell hosted both the Brit Awards and Comic Relief, and continued to front Big Brother?s Big Mouth. His BBC2 radio podcast became the UK?s most popular. Russell writes a weekly football column in the Guardian and is the patron of Focus 12, a charity helping people with alcohol and substance misuse."
22,22,22,22,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099457046.jpg,Moab Is My Washpot,Stephen Fry,Paperback,4.0,5.99,$,12.9,9780099457046,Art-Photography,dataset/Art-Photography/0000023.jpg,"______________________________ The original bestselling autobiography by comedian, novelist and national treasure Stephen Fry. Few people serve time in prison before studying at Cambridge. You might be surprised to know that Stephen Fry is one of them. Moab is My Washpot, the remarkable story of Stephen Fry's tumultuous early life, is by turns funny, shocking, tender, delicious, sad, lyrical, bruisingly frank and addictively readable. It's the story of a boy sent to a boarding school 200 miles from home at the age of seven, who survives beatings, misery, love, ecstasy, carnal violation, expulsion, imprisonment, criminal conviction, probation and catastrophe to emerge, at eighteen, ready to try and face the world in which he had always felt a stranger. Fry writes with the wit and warmth which have become his hallmark, but with shocking candour too. For anyone seeking to understand one of Britain's greatest cultural treasures, this book is utterly essential reading."
23,23,23,23,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/8837/9788883705601.jpg,Moleskine Pocket Watercolour Notebook,Moleskine,Notebook / blank book,5.0,9.70,$,15.9,9788883705601,Art-Photography,dataset/Art-Photography/0000024.jpg,
24,24,24,24,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4521/9781452106557.jpg,Darth Vader and Son,Jeffrey Brown,Hardback,4.0,9.61,$,12.9,9781452106557,Art-Photography,dataset/Art-Photography/0000025.jpg,"What if Darth Vader took an active role in raising his son? What if ""Luke, I am your father"" was just a stern admonishment from an annoyed dad? In this hilarious and sweet comic reimagining, Darth Vader is a dad like any other—except with all the baggage of being the Dark Lord of the Sith. Celebrated artist Jeffrey Brown's delightful illustrations give classic Star Wars® moments a fresh twist, presenting the trials and joys of parenting through the lens of a galaxy far, far away. Life lessons include lightsaber batting practice, using the Force to raid the cookie jar, Take Your Child to Work Day on the Death Star (""Er, he looks just like you, Lord Vader!""), and the special bond shared between any father and son. Plus, this is the fixed-format version, which looks almost identical to the print edition."
25,25,25,25,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969430.jpg,"Music Theory in Practice, Grade 2",Eric Taylor,Sheet music,4.5,6.99,$,7.0,9781860969430,Art-Photography,dataset/Art-Photography/0000026.jpg,"Fully revised, this workbook remains the best way to prepare for ABRSM's Grade 5 Theory of Music Exam. Features a clear explanation of music notation, many worked examples and practice exercises, definitions of important words and concepts, specimen exam questions and helpful tips for students."
26,26,26,26,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7624/9780762459452.jpg,Harry Potter: Collectible Quidditch Set,Running Press,Paperback,5.0,18.32,$,22.99,9780762459452,Art-Photography,dataset/Art-Photography/0000027.jpg,"“A fun way to get kids interested in Harry Potter also interested in food.” —New York magazine Conjure up feasts that rival the Great Hall’s, sweets fit for the Minister of Magic, snacks you’d find on the Hogwarts Express, and more! This bestselling unofficial Harry Potter cookbook is perfect for chefs of all ages, from new readers to longtime fans—no wands required! Bangers and mash with Harry, Ron, and Hermione in the Hogwarts dining hall. A proper cuppa tea and rock cakes in Hagrid's hut. Cauldron cakes and pumpkin juice on the Hogwarts Express. With this cookbook, dining a la Hogwarts is as easy as Banoffee Pie! With more than 150 easy-to-make recipes, tips, and techniques, you can indulge in spellbindingly delicious meals drawn straight from the pages of your favorite Potter stories, such as: Treacle Tart—Harry's favorite dessert Molly's Meat Pies—Mrs. Weasley's classic dish Kreacher's French Onion Soup Pumpkin Pasties—a staple on the Hogwarts Express cart With a dash of magic and a drop of creativity, you'll conjure up the entrees, desserts, snacks, and drinks you need to transform ordinary Muggle meals into magical culinary masterpieces, sure to make even Mrs. Weasley proud!"
27,27,27,27,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8499/9781849942850.jpg,Millie Marotta's Tropical Wonderland,Millie Marotta,Paperback,4.5,11.60,$,12.9,9781849942850,Art-Photography,dataset/Art-Photography/0000028.jpg,"A colouring book to keep and treasure forever. The wonderful illustrations from Millie Marotta's Tropical Wonderland are reproduced here on the thickest paper yet (180 gsm) on one side only, including 13 gatefolds and with five additional prints that can be pulled out of an envelope at the back of the book. These prints are ideal for framing. This is an edition for all Millie fans and even those new to her work who want something special to record their creative colouring and drawing or indeed just a beautiful collection of illustrations. The book is linen bound with screenprinted illustrations and foiling that add a new dimension to Millie's work. It is, quite simply, a beautiful book."
28,28,28,28,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4862/9780486254500.jpg,Fun with Dinosaur Stencils,Albert G. Smith,Paperback,4.5,2.81,$,,9780486254500,Art-Photography,dataset/Art-Photography/0000029.jpg,"Six open stencils — no cutting or punching out necessary —nbsp;let youngsters trace and color Tyrannosaurus, Triceratops, and four other Mesozoic monsters."
29,29,29,29,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2411/9780241184837.jpg,Hooked,Nir Eyal,Hardback,4.0,13.76,$,16.0,9780241184837,Art-Photography,dataset/Art-Photography/0000030.jpg,"If you ask the confident and snarky skater girl, and she's in the mood to share, she'll tell you her name is Cat. She might even tell you that she's hooked on graffiti, 80s movies, and having fun--the riskier the better. Cat will share a good time with you, but she won't ever trust you enough to share her heart. It's protected by secrets and she'd like to keep it that way. Cat knows one thing for certain: Love isn't really her thing. If you ask the confident and rich pretty boy, he might tell you his name is Huck. He might even tell you he loves a challenge and is used to getting his way. He won't tell you that his life is a mess because he risked his heart by trusting the wrong girl. Huck is ready for a change, he just wasn't ready to get hooked on someone like Cat. Huck knows one thing for certain: Love hasn't done him any favors, but Cat just might be worth the risk. Cat and Huck think a one-night stand seems harmless, but when all the little secrets they didn't share turn out to be toxic truths, they realize how easily a one-night stand (or a few) could ruin everything. The thing is, you can be ruined in more than one way. Once you're HOOKED, what wouldn't you risk for the chance at more?"
30,30,30,30,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6165/9781616550417.jpg,The Legend of Zelda,Shigeru Miyamoto,Hardback,4.5,27.56,$,40.0,9781616550417,Art-Photography,dataset/Art-Photography/0000031.jpg,
31,31,31,31,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4722/9781472200341.jpg,The Ocean at the End of the Lane,Neil Gaiman,Paperback,4.0,7.70,$,11.4,9781472200341,Art-Photography,dataset/Art-Photography/0000032.jpg,
32,32,32,32,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969447.jpg,"Music Theory in Practice, Grade 3",Eric Taylor,Sheet music,4.0,7.57,$,7.8,9781860969447,Art-Photography,dataset/Art-Photography/0000033.jpg,"Fully revised, this workbook remains the best way to prepare for ABRSM's Grade 5 Theory of Music Exam. Features a clear explanation of music notation, many worked examples and practice exercises, definitions of important words and concepts, specimen exam questions and helpful tips for students."
33,33,33,33,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969461.jpg,"Music Theory in Practice, Grade 5",Eric Taylor,Sheet music,4.5,8.80,$,,9781860969461,Art-Photography,dataset/Art-Photography/0000034.jpg,"This introduction to the essential elements of music is ideal for students preparing for examinations, as well as an excellent resource for everyone learning to read music."
34,34,34,34,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6167/9781616770785.jpg,Piano Adventures,Nancy Faber,Paperback,4.0,7.43,$,9.0,9781616770785,Art-Photography,dataset/Art-Photography/0000035.jpg,"(Faber Piano Adventures ). The appeal of popular music spans generations and genres. In this collection of 27 hits, enjoy folk tunes like ""Ashokan Farewell"" and ""Bridge Over Troubled Water,"" movie themes from James Bond and Batman , Broadway numbers from Evita and A Little Night Music , and chart-toppers performed by Michael Jackson, Adele, Billy Joel, and more. Adult Piano Adventures Popular Book 2 provides this variety, yet with accessible arrangements for the progressing pianist. Students may advance through the book alongside method studies, or jump to all their favorites. Optional chord symbols above the staff guide understanding and personal expression."
35,35,35,35,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7535/9780753557150.jpg,Lost Ocean,Johanna Basford,Paperback,4.5,12.39,$,,9780753557150,Art-Photography,dataset/Art-Photography/0000036.jpg,"Featuring beautiful selections from Johanna Basford's Lost Ocean, this set of 50 loose postcards in a premium gift box with a ribbon invites you to colour in shoals of exotic fish, curious octopuses, delicately penned seahorses and more - all while exploring the magical depths of the sea. Perfect to colour, keep and share."
36,36,36,36,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7423/9781742372389.jpg,The Happiest Refugee,Anh Do,Paperback,4.0,20.87,$,,9781742372389,Art-Photography,dataset/Art-Photography/0000037.jpg,"The bestselling, laugh-out-loud, reach for your hanky story of one of Australia's best-loved comedians."
37,37,37,37,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7611/9780761178972.jpg,Show Your Work!,Austin Kleon,Paperback,4.0,8.94,$,11.95,9780761178972,Art-Photography,dataset/Art-Photography/0000038.jpg,"In his New York Times bestseller Steal Like an Artist, Austin Kleon showed readers how to unlock their creativity by “stealing” from the community of other movers and shakers. Now, in an even more forward-thinking and necessary book, he shows how to take that critical next step on a creative journey—getting known. Show Your Work! is about why generosity trumps genius. It’s about getting findable, about using the network instead of wasting time “networking.” It’s not self-promotion, it’s self-discovery—let others into your process, then let them steal from you. Filled with illustrations, quotes, stories, and examples, Show Your Work! offers ten transformative rules for being open, generous, brave, productive. In chapters such as You Don’t Have to Be a Genius; Share Something Small Every Day; and Stick Around, Kleon creates a user’s manual for embracing the communal nature of creativity— what he calls the “ecology of talent.” From broader life lessons about work (you can’t find your voice if you don’t use it) to the etiquette of sharing—and the dangers of oversharing—to the practicalities of Internet life (build a good domain name; give credit when credit is due), it’s an inspiring manifesto for succeeding as any kind of artist or entrepreneur in the digital age."
